,ENTIDAD,NOM_ENT,LOC,NOM_MUN,POBTOT,POBFEM,POBMAS,LATITUD,LONGITUD
146179,25,Sinaloa,2645,Culiacán,4,*,*,"24°49'21.425"" N","107°20'10.957"" W"
146180,25,Sinaloa,2648,Culiacán,11,*,*,"24°48'55.509"" N","107°27'11.111"" W"
146181,25,Sinaloa,2650,Culiacán,3,*,*,"24°49'19.370"" N","107°27'18.085"" W"
146182,25,Sinaloa,2652,Culiacán,2,*,*,"24°50'08.947"" N","107°27'54.247"" W"
146183,25,Sinaloa,2654,Culiacán,3,*,*,"24°48'47.578"" N","107°29'08.310"" W"
146184,25,Sinaloa,2657,Culiacán,2,*,*,"24°47'40.708"" N","107°28'57.208"" W"
146185,25,Sinaloa,2658,Culiacán,1,*,*,"24°47'45.167"" N","107°28'38.767"" W"
146186,25,Sinaloa,2661,Culiacán,2,*,*,"24°49'12.178"" N","107°29'18.474"" W"
146187,25,Sinaloa,2662,Culiacán,5,*,*,"24°49'52.778"" N","107°29'29.728"" W"
146188,25,Sinaloa,2663,Culiacán,4,*,*,"24°52'17.936"" N","107°28'37.145"" W"
146189,25,Sinaloa,2668,Culiacán,6,*,*,"24°40'45.889"" N","107°23'43.100"" W"
146190,25,Sinaloa,2684,Culiacán,4,*,*,"24°52'21.328"" N","107°23'52.457"" W"
146191,25,Sinaloa,2687,Culiacán,8,*,*,"24°39'37.839"" N","107°29'28.862"" W"
146192,25,Sinaloa,2690,Culiacán,5,*,*,"24°39'55.000"" N","107°25'28.005"" W"
146193,25,Sinaloa,2691,Culiacán,3,*,*,"24°41'42.479"" N","107°26'19.693"" W"
146194,25,Sinaloa,2698,Culiacán,6,*,*,"24°33'53.988"" N","107°26'38.003"" W"
146195,25,Sinaloa,2703,Culiacán,4,*,*,"24°26'04.225"" N","107°06'44.147"" W"
146196,25,Sinaloa,2707,Culiacán,1,*,*,"24°22'46.166"" N","107°05'56.341"" W"
146197,25,Sinaloa,2714,Culiacán,34,11,23,"24°31'30.941"" N","107°26'40.587"" W"
146198,25,Sinaloa,2717,Culiacán,12,4,8,"25°08'10.864"" N","107°10'56.331"" W"
146199,25,Sinaloa,2720,Culiacán,4,*,*,"25°07'00.848"" N","107°31'21.830"" W"
146200,25,Sinaloa,2721,Culiacán,107,52,55,"25°05'30.053"" N","107°31'02.046"" W"
146201,25,Sinaloa,2722,Culiacán,2,*,*,"25°03'39.267"" N","107°31'02.970"" W"
146202,25,Sinaloa,2724,Culiacán,1,*,*,"25°03'33.857"" N","107°31'56.442"" W"
146203,25,Sinaloa,2725,Culiacán,3,*,*,"25°03'49.087"" N","107°33'21.582"" W"
146204,25,Sinaloa,2726,Culiacán,7,*,*,"25°11'21.348"" N","107°22'07.500"" W"
146205,25,Sinaloa,2727,Culiacán,137,66,71,"25°11'22.270"" N","107°20'59.691"" W"
146206,25,Sinaloa,2730,Culiacán,15,6,9,"25°11'33.769"" N","107°20'03.318"" W"
146207,25,Sinaloa,2731,Culiacán,20,8,12,"25°08'09.680"" N","107°17'07.330"" W"
146208,25,Sinaloa,2732,Culiacán,33,17,16,"25°08'43.325"" N","107°18'25.861"" W"
146209,25,Sinaloa,2735,Culiacán,3,*,*,"24°52'10.405"" N","107°23'46.209"" W"
146210,25,Sinaloa,2737,Culiacán,4,*,*,"24°44'59.864"" N","107°22'01.421"" W"
146211,25,Sinaloa,2757,Culiacán,2,*,*,"24°26'51.739"" N","107°05'34.529"" W"
146212,25,Sinaloa,2758,Culiacán,13,7,6,"24°31'18.565"" N","107°20'11.191"" W"
146213,25,Sinaloa,2761,Culiacán,2,*,*,"24°47'51.187"" N","107°27'10.144"" W"
146214,25,Sinaloa,2768,Culiacán,4,*,*,"24°40'03.093"" N","107°26'37.015"" W"
146215,25,Sinaloa,2769,Culiacán,8,*,*,"24°40'46.010"" N","107°24'35.440"" W"
146216,25,Sinaloa,2777,Culiacán,311,149,162,"24°26'54.517"" N","107°22'56.541"" W"
